customer_id,meter_number,customer_name,address,customer_phone,customer_type,billing_type,transformer_id,account_status,latitude,longitude,email,created_at
1,MTR000001,Sean Kim,"626 Osborne Park Apt. 129, Schultzfurt, ME 37105",269.582.2580,Residential,R,2911,INACTIVE,6.229605,6.158987,kimberlyruiz@example.org,1/6/2025 7:03
2,MTR000002,Jason Bryant,"741 Donna Highway, Lake Alexis, ME 33491",001-882-594-0892,Industrial,D,2408,INACTIVE,6.751908,5.623039,avilachristine@example.com,7/13/2024 8:25
3,MTR000003,Kelly Griffith,"7997 Stevens Drive, New Melissamouth, AR 24633",001-568-659-7233x560,Industrial,R,3964,INACTIVE,5.973349,6.887565,alvareztammy@example.org,7/31/2024 0:39
4,MTR000004,Chris Bates,"867 Matthew Drive Suite 383, South Thomastown, WA 92375",001-666-658-2376x1605,Residential,R,2221,INACTIVE,6.117954,6.287097,rwatkins@example.org,9/21/2025 21:50
5,MTR000005,Leah Kelly,"7884 Stephenson Trace Apt. 795, Port Mark, OR 99893",7576925076,Commercial,D,3512,ACTIVE,6.720236,5.587529,jessicaward@example.org,4/24/2024 14:04
6,MTR000006,Christopher Porter,"992 Veronica Plain, Lake Robertburgh, WV 48673",292-598-2931x698,Residential,R,2661,INACTIVE,5.482992,6.913949,ruthscott@example.net,12/16/2024 3:49
7,MTR000007,Nicole Garcia,"21474 Holly Fall Suite 641, Holmesberg, AK 31163",651-298-8692x5880,Commercial,R,475,ACTIVE,5.922932,6.368045,paul20@example.com,5/2/2024 11:29
8,MTR000008,Cindy Kelly,"Unit 1322 Box 0347, DPO AE 41083",852-643-1417x47466,Industrial,R,2968,INACTIVE,5.380447,5.610538,miguelbryan@example.net,8/8/2024 7:56
9,MTR000009,Corey Conley,"542 Pamela Fords, East Lisaport, AL 47374",380-659-5272x420,Residential,R,2238,ACTIVE,5.222201,6.914745,krista18@example.net,5/14/2025 21:30
10,MTR000010,Stephen Potter,"5432 Jennings Street Apt. 513, East Alexander, CT 94721",237.390.4714,Commercial,D,2031,INACTIVE,6.465209,5.031117,justin12@example.com,10/15/2024 21:33
11,MTR000011,Matthew Torres,"8615 Kimberly Causeway Suite 798, Travismouth, MA 72942",(427)507-2831x7522,Residential,D,3213,ACTIVE,6.801313,6.644467,jillian13@example.com,2/8/2025 4:55
12,MTR000012,Jennifer Patterson,"9344 Marissa Hollow, Victoriabury, OH 27460",(501)369-0616x886,Commercial,D,1177,ACTIVE,6.681598,6.147001,carla01@example.org,5/31/2025 6:13
13,MTR000013,Emily Arnold,"5014 Sloan Stream Apt. 820, Berryland, VA 04775",001-607-704-7183,Industrial,D,2937,INACTIVE,6.739861,5.254815,jenniferpotter@example.com,12/22/2024 7:20
14,MTR000014,Travis Davis,"4166 Rebecca Plaza Apt. 316, Whiteton, ND 43070",(510)253-0395x9510,Commercial,D,161,ACTIVE,6.54542,5.69425,ireese@example.net,6/8/2025 5:05
15,MTR000015,Christopher Collins,"3516 Jennifer Brooks, Millerbury, PR 28356",730.315.1253,Residential,D,2446,INACTIVE,6.684278,6.730562,mikayla61@example.net,3/24/2025 22:21
16,MTR000016,Randall Bruce,"247 Erin Haven, Lake Scottberg, AL 03286",+1-627-522-8232x16555,Commercial,D,2614,INACTIVE,5.130264,5.307705,charles04@example.org,5/12/2025 19:19
17,MTR000017,Stephen Reyes,"568 Isaac Ferry, Michaelborough, AK 22165",9117970018,Commercial,D,1210,ACTIVE,5.540595,6.285633,kevin22@example.org,6/24/2025 17:53
18,MTR000018,Chad Mcdonald,"3620 Vasquez Glens, Dorseyfort, IL 91099",+1-201-692-3915x0702,Industrial,R,3924,ACTIVE,6.859947,5.614596,ghensley@example.net,7/11/2024 20:22
19,MTR000019,Spencer Oneal,"69725 Ryan Mission, Ellisport, IN 89471",6372734505,Commercial,R,1843,ACTIVE,5.209751,5.111799,kelseymorales@example.com,6/17/2025 0:54
20,MTR000020,Kyle Bates,"2473 Serrano Fords, East Dakotatown, MI 16766",466-721-4360x103,Industrial,R,3484,ACTIVE,6.294038,6.202184,xbush@example.com,3/30/2024 17:50
21,MTR000021,Dana Manning,"5610 Kimberly Harbor, North Cindy, NV 04485",525-573-2134x939,Commercial,R,573,INACTIVE,6.891572,6.221653,hammonderica@example.net,6/19/2024 4:09
22,MTR000022,Jamie Mcclure,"70216 David Island, Cindyton, RI 50701",001-509-800-0015x26615,Commercial,R,572,ACTIVE,6.200535,5.322032,rachel04@example.org,5/12/2025 6:42
23,MTR000023,Richard Ford,"Unit 9813 Box 3809, DPO AA 69181",+1-238-270-0434x88247,Commercial,R,2250,INACTIVE,6.715471,5.59293,ashleymiller@example.com,4/29/2024 16:10
24,MTR000024,Stacy Evans,"106 Trujillo Well, Elizabethberg, NJ 23827",219.405.7929x992,Commercial,R,2534,ACTIVE,6.633698,5.244656,kathywagner@example.com,8/23/2024 18:06
25,MTR000025,Sarah Robinson,"05377 Bennett Rue, Wrightport, NE 39744",896-382-4316x6821,Residential,R,3124,INACTIVE,5.664977,6.182769,xroberts@example.com,6/10/2025 18:19
26,MTR000026,Justin King,"263 Anderson Unions, West Kellyville, DE 29300",(988)601-2035,Commercial,R,2532,INACTIVE,6.715089,5.556847,garciavanessa@example.org,5/20/2024 19:08
27,MTR000027,Kristopher Leonard,"893 Clayton Mountain Suite 359, East Joseph, MP 75146",4997085042,Commercial,R,1517,INACTIVE,5.905469,5.483604,wernerjulie@example.org,5/26/2024 12:25
28,MTR000028,Kristina Wright,"2910 Simpson Roads, South Karenchester, GA 81934",(855)981-8971,Industrial,R,1771,ACTIVE,5.755617,5.941643,anna42@example.net,10/20/2024 16:52
29,MTR000029,Erin Lewis,"358 Williams Lock Apt. 859, Lake Kevinstad, CA 64038",001-452-398-0189x06572,Commercial,R,1595,INACTIVE,5.994036,5.660885,blackburnjohn@example.net,2/20/2025 22:37
30,MTR000030,Rebecca Hernandez,"8157 Johnny Terrace, Lake Ross, ID 56899",(420)905-5743,Commercial,R,813,INACTIVE,6.583817,5.924166,mccoyashley@example.com,8/2/2024 3:49
31,MTR000031,Dorothy Smith,"69273 Andrew Wall, Jasminemouth, MI 76614",+1-307-580-3609x156,Residential,D,3515,INACTIVE,6.467334,6.480543,rita39@example.net,6/15/2025 17:18
32,MTR000032,Stefanie Johnson,"922 Martinez Flats Apt. 227, Ruizton, NJ 35209",+1-967-875-9295x22206,Industrial,R,2750,ACTIVE,6.827209,5.396552,vmccoy@example.net,4/5/2025 12:17
33,MTR000033,Travis Lewis,"255 Victor Extension, Jonesstad, MS 69630",+1-566-857-2586x9882,Residential,R,1260,ACTIVE,6.501092,5.33258,ericrush@example.com,7/12/2024 8:55
34,MTR000034,William Bush,"2989 Aaron Vista Apt. 742, Katherinebury, NE 21937",001-537-610-4220x5208,Residential,D,1220,ACTIVE,5.319182,6.618136,zimmermanphilip@example.net,11/15/2024 2:15
35,MTR000035,Valerie Velasquez,"5566 Dyer Fields, South Scottshire, ND 25897",572.856.7134x08067,Residential,R,3436,INACTIVE,6.137926,6.385117,tina10@example.net,2/7/2024 20:41
36,MTR000036,Richard Spencer,"8446 Wallace Ville, East Robert, MI 84947",298.687.5337x21890,Commercial,D,3844,ACTIVE,6.512944,5.997361,tony06@example.net,5/27/2024 15:35
